title,price,rating,availability,url,page_scraped,date_scrrapped,price_clean,rating_number
A Light in the Attic,Â£51.77,Three,In stock,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,1,2026-05-29 03:45:20,51.77,3
Tipping the Velvet,Â£53.74,One,In stock,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,1,2026-05-29 03:45:20,53.74,1
Soumission,Â£50.10,One,In stock,http://books.toscrape.com/catalogue/soumission_998/index.html,1,2026-05-29 03:45:20,50.1,1
Sharp Objects,Â£47.82,Four,In stock,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,1,2026-05-29 03:45:20,47.82,4
Sapiens: A Brief History of Humankind,Â£54.23,Five,In stock,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,1,2026-05-29 03:45:20,54.23,5
The Requiem Red,Â£22.65,One,In stock,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,1,2026-05-29 03:45:20,22.65,1
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,Four,In stock,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,1,2026-05-29 03:45:20,33.34,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,Three,In stock,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,1,2026-05-29 03:45:20,17.93,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,Four,In stock,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,1,2026-05-29 03:45:20,22.6,4
The Black Maria,Â£52.15,One,In stock,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,1,2026-05-29 03:45:20,52.15,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,Two,In stock,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,1,2026-05-29 03:45:20,13.99,2
Shakespeare's Sonnets,Â£20.66,Four,In stock,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,1,2026-05-29 03:45:20,20.66,4
Set Me Free,Â£17.46,Five,In stock,http://books.toscrape.com/catalogue/set-me-free_988/index.html,1,2026-05-29 03:45:20,17.46,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,Five,In stock,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,1,2026-05-29 03:45:20,52.29,5
Rip it Up and Start Again,Â£35.02,Five,In stock,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,1,2026-05-29 03:45:20,35.02,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,Three,In stock,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,1,2026-05-29 03:45:20,57.25,3
Olio,Â£23.88,One,In stock,http://books.toscrape.com/catalogue/olio_984/index.html,1,2026-05-29 03:45:20,23.88,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,One,In stock,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1,2026-05-29 03:45:20,37.59,1
Libertarianism for Beginners,Â£51.33,Two,In stock,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,1,2026-05-29 03:45:20,51.33,2
It's Only the Himalayas,Â£45.17,Two,In stock,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,1,2026-05-29 03:45:20,45.17,2
In Her Wake,Â£12.84,One,In stock,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,2,2026-05-29 03:45:23,12.84,1
How Music Works,Â£37.32,Two,In stock,http://books.toscrape.com/catalogue/how-music-works_979/index.html,2,2026-05-29 03:45:23,37.32,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,Three,In stock,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2,2026-05-29 03:45:23,30.52,3
Chase Me (Paris Nights #2),Â£25.27,Five,In stock,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,2,2026-05-29 03:45:23,25.27,5
Black Dust,Â£34.53,Five,In stock,http://books.toscrape.com/catalogue/black-dust_976/index.html,2,2026-05-29 03:45:23,34.53,5
Birdsong: A Story in Pictures,Â£54.64,Three,In stock,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,2,2026-05-29 03:45:23,54.64,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,Three,In stock,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2,2026-05-29 03:45:23,22.5,3
Aladdin and His Wonderful Lamp,Â£53.13,Three,In stock,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,2,2026-05-29 03:45:23,53.13,3
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,Five,In stock,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2,2026-05-29 03:45:23,40.3,5
Wall and Piece,Â£44.18,Four,In stock,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,2,2026-05-29 03:45:23,44.18,4
